data;regione;lat;long;ricoverati_con_sintomi;terapia_intensiva;totale_ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;dimessi_guariti;deceduti;totale_casi;tamponi;nuovi_casi;nuovi_tamponi;nuovi_deceduti;nuovi_dimessi_guariti;nuovi_terapia_intensiva
2020-02-24;Abruzzo;42,35122196;13,39843823;0;0;0;0;0;0;0;0;0;5;0,0;5,0;0,0;0,0;0,0
2020-02-25;Abruzzo;42,35122196;13,39843823;0;0;0;0;0;0;0;0;0;5;0,0;0,0;0,0;0,0;0,0
2020-02-26;Abruzzo;42,35122196;13,39843823;0;0;0;0;0;0;0;0;0;13;0,0;8,0;0,0;0,0;0,0
2020-02-27;Abruzzo;42,35122196;13,39843823;1;0;1;0;1;1;0;0;1;33;1,0;20,0;0,0;0,0;0,0
2020-02-28;Abruzzo;42,35122196;13,39843823;1;0;1;0;1;0;0;0;1;33;0,0;0,0;0,0;0,0;0,0
2020-02-29;Abruzzo;42,35122196;13,39843823;2;0;2;0;2;1;0;0;2;43;1,0;10,0;0,0;0,0;0,0
2020-03-01;Abruzzo;42,35122196;13,39843823;3;0;3;2;5;3;0;0;5;52;3,0;9,0;0,0;0,0;0,0
2020-03-02;Abruzzo;42,35122196;13,39843823;3;0;3;2;5;0;0;0;5;52;0,0;0,0;0,0;0,0;0,0
2020-03-03;Abruzzo;42,35122196;13,39843823;5;0;5;1;6;1;0;0;6;52;1,0;0,0;0,0;0,0;0,0
2020-03-04;Abruzzo;42,35122196;13,39843823;7;0;7;0;7;1;0;0;7;85;1,0;33,0;0,0;0,0;0,0
2020-03-05;Abruzzo;42,35122196;13,39843823;8;0;8;0;8;1;0;0;8;96;1,0;11,0;0,0;0,0;0,0
2020-03-06;Abruzzo;42,35122196;13,39843823;9;0;9;0;9;1;0;0;9;96;1,0;0,0;0,0;0,0;0,0
2020-03-07;Abruzzo;42,35122196;13,39843823;11;0;11;0;11;2;0;0;11;123;2,0;27,0;0,0;0,0;0,0
2020-03-08;Abruzzo;42,35122196;13,39843823;14;0;14;3;17;6;0;0;17;163;6,0;40,0;0,0;0,0;0,0
2020-03-09;Abruzzo;42,35122196;13,39843823;25;0;25;5;30;13;0;0;30;237;13,0;74,0;0,0;0,0;0,0
2020-03-10;Abruzzo;42,35122196;13,39843823;17;9;26;11;37;7;0;1;38;310;8,0;73,0;1,0;0,0;9,0
2020-03-11;Abruzzo;42,35122196;13,39843823;17;9;26;11;37;0;0;1;38;310;0,0;0,0;0,0;0,0;0,0
2020-03-12;Abruzzo;42,35122196;13,39843823;47;12;59;19;78;41;4;2;84;867;46,0;557,0;1,0;4,0;3,0
2020-03-13;Abruzzo;42,35122196;13,39843823;42;14;56;27;83;5;4;2;89;958;5,0;91,0;0,0;0,0;2,0
2020-03-14;Abruzzo;42,35122196;13,39843823;51;14;65;41;106;23;4;2;112;1232;23,0;274,0;0,0;0,0;0,0
2020-03-15;Abruzzo;42,35122196;13,39843823;72;28;100;28;128;22;6;3;137;1419;25,0;187,0;1,0;2,0;14,0
2020-03-16;Abruzzo;42,35122196;13,39843823;71;37;108;57;165;37;7;4;176;1533;39,0;114,0;1,0;1,0;9,0
2020-03-17;Abruzzo;42,35122196;13,39843823;94;32;126;90;216;51;7;6;229;1688;53,0;155,0;2,0;0,0;-5,0
2020-03-18;Abruzzo;42,35122196;13,39843823;99;41;140;109;249;33;7;7;263;2054;34,0;366,0;1,0;0,0;9,0
2020-03-19;Abruzzo;42,35122196;13,39843823;181;47;228;138;366;117;8;11;385;2409;122,0;355,0;4,0;1,0;6,0
2020-03-20;Abruzzo;42,35122196;13,39843823;190;48;238;184;422;56;10;17;449;2695;64,0;286,0;6,0;2,0;1,0
2020-03-21;Abruzzo;42,35122196;13,39843823;185;44;229;265;494;72;13;22;529;3035;80,0;340,0;5,0;3,0;-4,0
2020-03-22;Abruzzo;42,35122196;13,39843823;218;49;267;272;539;45;15;33;587;3375;58,0;340,0;11,0;2,0;5,0
2020-03-23;Abruzzo;42,35122196;13,39843823;228;52;280;325;605;66;20;38;663;3674;76,0;299,0;5,0;5,0;3,0
2020-03-24;Abruzzo;42,35122196;13,39843823;234;57;291;331;622;17;21;46;689;4294;26,0;620,0;8,0;1,0;5,0
2020-03-25;Abruzzo;42,35122196;13,39843823;248;59;307;431;738;116;23;52;813;4982;124,0;688,0;6,0;2,0;2,0
2020-03-26;Abruzzo;42,35122196;13,39843823;280;64;344;516;860;122;23;63;946;5488;133,0;506,0;11,0;0,0;5,0
2020-03-27;Abruzzo;42,35122196;13,39843823;289;71;360;565;925;65;24;68;1017;6109;71,0;621,0;5,0;1,0;7,0
2020-03-28;Abruzzo;42,35122196;13,39843823;311;70;381;646;1027;102;30;76;1133;7003;116,0;894,0;8,0;6,0;-1,0
2020-03-29;Abruzzo;42,35122196;13,39843823;329;68;397;772;1169;142;36;88;1293;7730;160,0;727,0;12,0;6,0;-2,0
2020-03-30;Abruzzo;42,35122196;13,39843823;322;69;391;778;1169;0;74;102;1345;7948;52,0;218,0;14,0;38,0;1,0
2020-03-31;Abruzzo;42,35122196;13,39843823;335;73;408;783;1191;22;95;115;1401;8758;56,0;810,0;13,0;21,0;4,0
2020-04-01;Abruzzo;42,35122196;13,39843823;342;71;413;798;1211;20;102;123;1436;9610;35,0;852,0;8,0;7,0;-2,0
2020-04-02;Abruzzo;42,35122196;13,39843823;341;75;416;835;1251;40;113;133;1497;10647;61,0;1037,0;10,0;11,0;4,0
2020-04-03;Abruzzo;42,35122196;13,39843823;361;76;437;864;1301;50;116;146;1563;11890;66,0;1243,0;13,0;3,0;1,0
2020-04-04;Abruzzo;42,35122196;13,39843823;354;71;425;931;1356;55;119;153;1628;12837;65,0;947,0;7,0;3,0;-5,0
2020-02-24;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0
2020-02-25;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0
2020-02-26;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0
2020-02-27;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0
2020-02-28;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0
2020-02-29;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;32;0,0;32,0;0,0;0,0;0,0
2020-03-01;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;39;0,0;7,0;0,0;0,0;0,0
2020-03-02;Basilicata;40,63947052;15,80514834;0;0;0;0;0;0;0;0;0;39;0,0;0,0;0,0;0,0;0,0
2020-03-03;Basilicata;40,63947052;15,80514834;0;0;0;1;1;1;0;0;1;42;1,0;3,0;0,0;0,0;0,0
2020-03-04;Basilicata;40,63947052;15,80514834;0;0;0;1;1;0;0;0;1;48;0,0;6,0;0,0;0,0;0,0
2020-03-05;Basilicata;40,63947052;15,80514834;0;0;0;1;1;0;0;0;1;54;0,0;6,0;0,0;0,0;0,0
2020-03-06;Basilicata;40,63947052;15,80514834;1;0;1;2;3;2;0;0;3;63;2,0;9,0;0,0;0,0;0,0
2020-03-07;Basilicata;40,63947052;15,80514834;1;0;1;2;3;0;0;0;3;75;0,0;12,0;0,0;0,0;0,0
2020-03-08;Basilicata;40,63947052;15,80514834;2;0;2;2;4;1;0;0;4;123;1,0;48,0;0,0;0,0;0,0
2020-03-09;Basilicata;40,63947052;15,80514834;2;0;2;3;5;1;0;0;5;135;1,0;12,0;0,0;0,0;0,0
2020-03-10;Basilicata;40,63947052;15,80514834;2;0;2;5;7;2;0;0;7;148;2,0;13,0;0,0;0,0;0,0
2020-03-11;Basilicata;40,63947052;15,80514834;1;1;2;6;8;1;0;0;8;155;1,0;7,0;0,0;0,0;1,0
2020-03-12;Basilicata;40,63947052;15,80514834;1;1;2;6;8;0;0;0;8;155;0,0;0,0;0,0;0,0;0,0
2020-03-13;Basilicata;40,63947052;15,80514834;1;1;2;8;10;2;0;0;10;155;2,0;0,0;0,0;0,0;0,0
2020-03-14;Basilicata;40,63947052;15,80514834;0;2;2;8;10;0;0;0;10;155;0,0;0,0;0,0;0,0;1,0
2020-03-15;Basilicata;40,63947052;15,80514834;0;2;2;9;11;1;0;0;11;208;1,0;53,0;0,0;0,0;0,0
2020-03-16;Basilicata;40,63947052;15,80514834;1;2;3;9;12;1;0;0;12;230;1,0;22,0;0,0;0,0;0,0
2020-03-17;Basilicata;40,63947052;15,80514834;5;2;7;13;20;8;0;0;20;262;8,0;32,0;0,0;0,0;0,0
2020-03-18;Basilicata;40,63947052;15,80514834;9;2;11;16;27;7;0;0;27;262;7,0;0,0;0,0;0,0;0,0
2020-03-19;Basilicata;40,63947052;15,80514834;8;5;13;24;37;10;0;0;37;353;10,0;91,0;0,0;0,0;3,0
2020-03-20;Basilicata;40,63947052;15,80514834;8;5;13;39;52;15;0;0;52;443;15,0;90,0;0,0;0,0;0,0
2020-03-21;Basilicata;40,63947052;15,80514834;12;7;19;47;66;14;0;0;66;522;14,0;79,0;0,0;0,0;2,0
2020-03-22;Basilicata;40,63947052;15,80514834;13;10;23;58;81;15;0;0;81;643;15,0;121,0;0,0;0,0;3,0
2020-03-23;Basilicata;40,63947052;15,80514834;15;12;27;62;89;8;0;1;90;696;9,0;53,0;1,0;0,0;2,0
2020-03-24;Basilicata;40,63947052;15,80514834;14;12;26;65;91;2;0;1;92;744;2,0;48,0;0,0;0,0;0,0
2020-03-25;Basilicata;40,63947052;15,80514834;20;14;34;78;112;21;0;1;113;857;21,0;113,0;0,0;0,0;2,0
2020-03-26;Basilicata;40,63947052;15,80514834;22;16;38;95;133;21;0;1;134;1046;21,0;189,0;0,0;0,0;2,0
2020-03-27;Basilicata;40,63947052;15,80514834;22;15;37;110;147;14;1;3;151;1254;17,0;208,0;2,0;1,0;-1,0
2020-03-28;Basilicata;40,63947052;15,80514834;26;19;45;133;178;31;1;3;182;1421;31,0;167,0;0,0;0,0;4,0
2020-03-29;Basilicata;40,63947052;15,80514834;32;18;50;147;197;19;1;4;202;1585;20,0;164,0;1,0;0,0;-1,0
2020-03-30;Basilicata;40,63947052;15,80514834;36;18;54;154;208;11;1;5;214;1833;12,0;248,0;1,0;0,0;0,0
2020-03-31;Basilicata;40,63947052;15,80514834;37;17;54;162;216;8;3;7;226;2043;12,0;210,0;2,0;2,0;-1,0
2020-04-01;Basilicata;40,63947052;15,80514834;39;15;54;171;225;9;3;9;237;2262;11,0;219,0;2,0;0,0;-2,0
2020-04-02;Basilicata;40,63947052;15,80514834;38;19;57;176;233;8;3;10;246;2427;9,0;165,0;1,0;0,0;4,0
2020-04-03;Basilicata;40,63947052;15,80514834;41;19;60;187;247;14;3;11;261;2622;15,0;195,0;1,0;0,0;0,0
2020-04-04;Basilicata;40,63947052;15,80514834;44;19;63;181;244;-3;9;11;264;2765;3,0;143,0;0,0;6,0;0,0
2020-02-24;Calabria;38,90597598;16,59440194;0;0;0;0;0;0;0;0;0;1;0,0;1,0;0,0;0,0;0,0
2020-02-25;Calabria;38,90597598;16,59440194;0;0;0;0;0;0;0;0;0;2;0,0;1,0;0,0;0,0;0,0
2020-02-26;Calabria;38,90597598;16,59440194;0;0;0;0;0;0;0;0;0;3;0,0;1,0;0,0;0,0;0,0
2020-02-27;Calabria;38,90597598;16,59440194;0;0;0;0;0;0;0;0;0;14;0,0;11,0;0,0;0,0;0,0
2020-02-28;Calabria;38,90597598;16,59440194;0;0;0;1;1;1;0;0;1;21;1,0;7,0;0,0;0,0;0,0
2020-02-29;Calabria;38,90597598;16,59440194;0;0;0;1;1;0;0;0;1;27;0,0;6,0;0,0;0,0;0,0
2020-03-01;Calabria;38,90597598;16,59440194;0;0;0;1;1;0;0;0;1;35;0,0;8,0;0,0;0,0;0,0
2020-03-02;Calabria;38,90597598;16,59440194;0;0;0;1;1;0;0;0;1;39;0,0;4,0;0,0;0,0;0,0
2020-03-03;Calabria;38,90597598;16,59440194;0;0;0;1;1;0;0;0;1;39;0,0;0,0;0,0;0,0;0,0
2020-03-04;Calabria;38,90597598;16,59440194;0;0;0;1;1;0;0;0;1;46;0,0;7,0;0,0;0,0;0,0
2020-03-05;Calabria;38,90597598;16,59440194;1;0;1;1;2;1;0;0;2;53;1,0;7,0;0,0;0,0;0,0
2020-03-06;Calabria;38,90597598;16,59440194;2;0;2;2;4;2;0;0;4;99;2,0;46,0;0,0;0,0;0,0
2020-03-07;Calabria;38,90597598;16,59440194;2;0;2;2;4;0;0;0;4;113;0,0;14,0;0,0;0,0;0,0
2020-03-08;Calabria;38,90597598;16,59440194;5;0;5;4;9;5;0;0;9;113;5,0;0,0;0,0;0,0;0,0
2020-03-09;Calabria;38,90597598;16,59440194;8;0;8;1;9;0;2;0;11;173;2,0;60,0;0,0;2,0;0,0
2020-03-10;Calabria;38,90597598;16,59440194;8;2;10;1;11;2;2;0;13;360;2,0;187,0;0,0;0,0;2,0
2020-03-11;Calabria;38,90597598;16,59440194;10;2;12;5;17;6;2;0;19;405;6,0;45,0;0,0;0,0;0,0
2020-03-12;Calabria;38,90597598;16,59440194;14;2;16;16;32;15;1;0;33;483;14,0;78,0;0,0;-1,0;0,0
2020-03-13;Calabria;38,90597598;16,59440194;18;3;21;16;37;5;1;0;38;504;5,0;21,0;0,0;0,0;1,0
2020-03-14;Calabria;38,90597598;16,59440194;22;4;26;33;59;22;1;0;60;711;22,0;207,0;0,0;0,0;1,0
2020-03-15;Calabria;38,90597598;16,59440194;32;6;38;28;66;7;1;1;68;884;8,0;173,0;1,0;0,0;2,0
2020-03-16;Calabria;38,90597598;16,59440194;36;7;43;44;87;21;1;1;89;1030;21,0;146,0;0,0;0,0;1,0
2020-03-17;Calabria;38,90597598;16,59440194;45;10;55;57;112;25;1;1;114;1293;25,0;263,0;0,0;0,0;3,0
2020-03-18;Calabria;38,90597598;16,59440194;45;11;56;70;126;14;2;1;129;1668;15,0;375,0;0,0;1,0;1,0
2020-03-19;Calabria;38,90597598;16,59440194;60;13;73;91;164;38;2;3;169;2342;40,0;674,0;2,0;0,0;2,0
2020-03-20;Calabria;38,90597598;16,59440194;71;16;87;114;201;37;2;4;207;2690;38,0;348,0;1,0;0,0;3,0
2020-03-21;Calabria;38,90597598;16,59440194;73;16;89;136;225;24;5;5;235;3050;28,0;360,0;1,0;3,0;0,0
2020-03-22;Calabria;38,90597598;16,59440194;77;17;94;166;260;35;5;8;273;3666;38,0;616,0;3,0;0,0;1,0
2020-03-23;Calabria;38,90597598;16,59440194;82;20;102;178;280;20;5;7;292;4073;19,0;407,0;-1,0;0,0;3,0
2020-03-24;Calabria;38,90597598;16,59440194;88;21;109;195;304;24;5;10;319;4486;27,0;413,0;3,0;0,0;1,0
2020-03-25;Calabria;38,90597598;16,59440194;93;23;116;217;333;29;7;11;351;5058;32,0;572,0;1,0;2,0;2,0
2020-03-26;Calabria;38,90597598;16,59440194;101;23;124;248;372;39;7;14;393;5933;42,0;875,0;3,0;0,0;0,0
2020-03-27;Calabria;38,90597598;16,59440194;103;22;125;344;469;97;7;18;494;6901;101,0;968,0;4,0;0,0;-1,0
2020-03-28;Calabria;38,90597598;16,59440194;107;22;129;394;523;54;11;21;555;7760;61,0;859,0;3,0;4,0;0,0
2020-03-29;Calabria;38,90597598;16,59440194;124;19;143;434;577;54;12;25;614;8485;59,0;725,0;4,0;1,0;-3,0
2020-03-30;Calabria;38,90597598;16,59440194;130;18;148;454;602;25;14;31;647;9013;33,0;528,0;6,0;2,0;-1,0
2020-03-31;Calabria;38,90597598;16,59440194;132;17;149;457;606;4;17;36;659;9327;12,0;314,0;5,0;3,0;-1,0
2020-04-01;Calabria;38,90597598;16,59440194;144;16;160;450;610;4;21;38;669;9983;10,0;656,0;2,0;4,0;-1,0
2020-04-02;Calabria;38,90597598;16,59440194;163;19;182;445;627;17;23;41;691;10679;22,0;696,0;3,0;2,0;3,0
2020-04-03;Calabria;38,90597598;16,59440194;183;17;200;462;662;35;26;45;733;11608;42,0;929,0;4,0;3,0;-2,0
2020-04-04;Calabria;38,90597598;16,59440194;178;15;193;469;662;0;30;49;741;12314;8,0;706,0;4,0;4,0;-2,0
2020-02-24;Campania;40,83956555;14,25084984;0;0;0;0;0;0;0;0;0;10;0,0;10,0;0,0;0,0;0,0
2020-02-25;Campania;40,83956555;14,25084984;0;0;0;0;0;0;0;0;0;10;0,0;0,0;0,0;0,0;0,0
2020-02-26;Campania;40,83956555;14,25084984;0;0;0;0;0;0;0;0;0;10;0,0;0,0;0,0;0,0;0,0
2020-02-27;Campania;40,83956555;14,25084984;2;0;2;1;3;3;0;0;3;10;3,0;0,0;0,0;0,0;0,0
2020-02-28;Campania;40,83956555;14,25084984;2;0;2;2;4;1;0;0;4;213;1,0;203,0;0,0;0,0;0,0
2020-02-29;Campania;40,83956555;14,25084984;3;0;3;10;13;9;0;0;13;373;9,0;160,0;0,0;0,0;0,0
2020-03-01;Campania;40,83956555;14,25084984;4;0;4;13;17;4;0;0;17;373;4,0;0,0;0,0;0,0;0,0
2020-03-02;Campania;40,83956555;14,25084984;4;0;4;13;17;0;0;0;17;373;0,0;0,0;0,0;0,0;0,0
2020-03-03;Campania;40,83956555;14,25084984;11;0;11;19;30;13;0;0;30;405;13,0;32,0;0,0;0,0;0,0
2020-03-04;Campania;40,83956555;14,25084984;11;0;11;20;31;1;0;0;31;429;1,0;24,0;0,0;0,0;0,0
2020-03-05;Campania;40,83956555;14,25084984;12;0;12;33;45;14;0;0;45;471;14,0;42,0;0,0;0,0;0,0
2020-03-06;Campania;40,83956555;14,25084984;12;0;12;45;57;12;0;0;57;471;12,0;0,0;0,0;0,0;0,0
2020-03-07;Campania;40,83956555;14,25084984;16;0;16;45;61;4;0;0;61;612;4,0;141,0;0,0;0,0;0,0
2020-03-08;Campania;40,83956555;14,25084984;30;7;37;63;100;39;1;0;101;980;40,0;368,0;0,0;1,0;7,0
2020-03-09;Campania;40,83956555;14,25084984;42;8;50;69;119;19;1;0;120;980;19,0;0,0;0,0;0,0;1,0
2020-03-10;Campania;40,83956555;14,25084984;33;8;41;85;126;7;1;0;127;1141;7,0;161,0;0,0;0,0;0,0
